index,typeID,size,attribute,minValue,maxValue,defaultValue,name
0,0,1,44,0,1,1,g_config.misc_cfg.gps_signature_valid_check
1,0,1,57,0,255,1,g_config.airport_limit_cfg.cfg_disable_airport_fly_limit
2,2,4,42,0,4294967295,20250910,g_config.airport_limit_cfg.cfg_limit_data
3,0,1,50,0,1,0,g_config.flying_limit.driver_license_limit_enable
4,0,1,51,0,1,0,g_config.flying_limit.viechle_license_limit_enable
5,0,1,43,1,2,2,g_config.flying_limit.height_limit_enabled
6,0,1,36,0,1,1,g_cfg_debug.rel_height_limit_enable
7,0,1,39,0,1,0,g_cfg_debug.motor.no_start_motor_check
8,0,1,32,0,1,1,g_config.bat_config.auth_enable
9,0,1,48,0,1,0,g_config.api_entry_cfg.sdk_version_check_enable
10,0,1,49,0,1,0,g_config.airport_limit_cfg.cfg_1860_limit_switch
11,0,1,42,0,1,1,g_config.whitelist_cfg.cfg_disable_in_sim
12,0,1,31,0,50,19,g_config.api_entry_cfg.channel
13,0,1,33,0,1,1,g_config.api_entry_cfg.comp_sign
14,0,1,34,0,1,0,g_config.api_entry_cfg.value_sign
15,0,1,35,0,1,1,g_config.api_entry_cfg.enable_mode
16,1,2,33,0,10001,3000,g_config.api_entry_cfg.abs_value
17,0,1,39,0,10,2,g_config.api_entry_cfg.authority_level
18,0,1,38,0,1,1,g_config.api_entry_cfg.cheat_backdoor
19,0,1,40,0,32,14,g_config.gps_signal_level_cfg.super_svn
20,0,1,39,0,32,8,g_config.gps_signal_level_cfg.good_svn
21,0,1,38,0,32,6,g_config.gps_signal_level_cfg.fix_svn
22,0,1,39,0,32,4,g_config.gps_signal_level_cfg.weak_svn
23,0,1,38,0,32,1,g_config.gps_signal_level_cfg.bad_svn
24,0,1,39,0,32,0,g_config.gps_signal_level_cfg.null_svn
25,8,4,41,0.1,999.900024,1,g_config.gps_signal_level_cfg.super_hdop
26,8,4,40,0.1,999.900024,2,g_config.gps_signal_level_cfg.good_hdop
27,8,4,39,0.1,999.900024,2.8,g_config.gps_signal_level_cfg.fix_hdop
28,8,4,40,0.1,999.900024,6,g_config.gps_signal_level_cfg.weak_hdop
29,8,4,39,0.1,999.900024,999.900024,g_config.gps_signal_level_cfg.bad_hdop
30,8,4,40,0.1,999.900024,999.900024,g_config.gps_signal_level_cfg.null_hdop
31,2,4,45,0,65535,1,g_config.airport_limit_cfg.cfg_search_radius
32,0,1,52,0,255,0,g_config.airport_limit_cfg.cfg_debug_airport_enable
33,0,1,21,0,1,0,FL_LIMIT_TAKE_OFF_EN
34,2,4,27,0,4294967295,0,g_cfg_debug.var_hash_value
35,0,1,12,0,43,0,modify_type
36,0,1,6,0,255,0,map_0
37,0,1,6,0,255,0,map_1
38,0,1,6,0,255,0,map_2
39,0,1,6,0,255,0,map_3
40,0,1,6,0,255,0,map_4
41,0,1,6,0,255,0,map_5
42,0,1,6,0,255,0,map_6
43,0,1,6,0,255,0,map_7
44,0,1,6,0,255,0,map_8
45,0,1,6,0,255,0,map_9
46,0,1,7,0,255,0,map_10
47,0,1,7,0,255,0,map_11
48,0,1,7,0,255,0,map_12
49,0,1,7,0,255,0,map_13
50,0,1,7,0,255,0,map_14
51,0,1,7,0,255,0,map_15
52,0,1,7,0,255,0,map_16
53,0,1,7,0,255,0,map_17
54,0,1,7,0,255,0,map_18
55,0,1,7,0,255,0,map_19
56,0,1,7,0,255,0,map_20
57,0,1,7,0,255,0,map_21
58,0,1,7,0,255,0,map_22
59,0,1,7,0,255,0,map_23
60,0,1,7,0,255,0,map_24
61,0,1,7,0,255,0,map_25
62,0,1,7,0,255,0,map_26
63,0,1,7,0,255,0,map_27
64,0,1,7,0,255,0,map_28
65,0,1,7,0,255,0,map_29
66,0,1,7,0,1,0,R_RC_A
67,0,1,7,0,1,0,R_RC_E
68,0,1,7,0,1,0,R_RC_T
69,0,1,7,0,1,0,R_RC_R
70,0,1,7,0,1,0,R_RC_U
71,0,1,16,0,1,0,R_RC_U_FAILSAFE
72,0,1,10,0,1,0,R_RC_GEAR
73,0,1,20,0,1,0,R_RC_GO_HOME_SQUARE
74,0,1,20,0,1,0,R_RC_GO_HOME_SWITCH
75,0,1,20,0,1,0,R_RC_EMERGENCY_MODE
76,0,1,20,0,1,0,R_RC_EMERGENCY_STOP
77,0,1,16,0,1,0,R_RC_PAUSE_STOP
78,0,1,9,0,1,0,R_RC_IOC
